6618	X	Z	S	Y	A	B	V	W
0.050146	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.100723	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.150754	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.200754	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.250847	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.010022	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.020063	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.030006	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.040011	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.050028	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.060018	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.070013	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.080032	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.090650	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.100020	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.110012	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.120016	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.130041	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.139994	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.150025	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.160085	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.170015	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.180033	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.190075	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.200008	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.210004	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.220020	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.230025	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.240049	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.250128	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.260069	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.270119	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.280040	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.290056	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.300034	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.300850	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.310035	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.320024	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.330018	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.340048	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.350046	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.350854	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.360000	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.370000	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.379999	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.390001	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.399986	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.400857	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.409988	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.419990	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.429990	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.440019	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.450002	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.450861	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.460027	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.470008	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.480068	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.489998	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.499986	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.500889	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.551748	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.601752	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.651757	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.510009	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.520002	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.530001	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.539997	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.549985	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.560053	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.570040	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.580045	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.590060	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.599982	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.609986	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.620035	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.630008	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.640001	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.650016	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.660060	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.670032	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.680056	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.690085	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.700000	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.701799	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.710018	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.720001	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.730032	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.740042	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.750032	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.752784	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.760035	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.770082	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.780038	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.790044	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.800059	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.803741	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.810046	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.820043	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.830016	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.840021	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.850012	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.854124	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.860009	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.870039	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.880030	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.890000	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.900047	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.904151	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.910033	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.920013	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.930018	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.940073	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.950002	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
