6077	Buffer Level	Buffer Control PID Delays
0.010001	0.000000	0.023150
0.020004	0.000000	0.023150
0.029971	0.000000	0.023150
0.039983	0.000000	0.023150
0.049950	0.000000	0.023150
0.050990	0.000000	0.023150
0.059953	0.000000	0.023150
0.069952	0.000000	0.023150
0.079970	0.000000	0.023150
0.089946	0.000000	0.023150
0.099947	0.000000	0.023150
0.101020	0.000000	0.023150
0.109970	0.000000	0.023150
0.119998	0.000000	0.023150
0.129947	0.000000	0.023150
0.139956	0.000000	0.023150
0.149943	0.000000	0.023150
0.159982	0.000000	0.023150
0.169957	0.000000	0.023150
0.179981	0.000000	0.023150
0.189972	0.000000	0.023150
0.199994	0.000000	0.023150
0.209948	0.000000	0.023150
0.219944	0.000000	0.023150
0.229939	0.000000	0.023150
0.239954	0.000000	0.023150
0.249948	0.000000	0.023150
0.259948	0.000000	0.023150
0.269944	0.000000	0.023150
0.279947	0.000000	0.023150
0.289987	0.000000	0.023150
0.299964	0.000000	0.023150
0.310006	0.000000	0.023150
0.319946	0.000000	0.023150
0.329972	0.000000	0.023150
0.339984	0.000000	0.023150
0.349954	0.000000	0.023150
0.359975	0.000000	0.023150
0.370033	0.000000	0.023150
0.379952	0.000000	0.023150
0.389963	0.000000	0.023150
0.399989	0.000000	0.023150
0.409980	0.000000	0.023150
0.419998	0.000000	0.023150
0.429973	0.000000	0.023150
0.439963	0.000000	0.023150
0.449996	0.000000	0.023150
0.459969	0.000000	0.023150
0.469983	0.000000	0.023150
0.479996	0.000000	0.023150
0.490013	0.000000	0.023150
0.500007	0.000000	0.023150
0.151021	0.000000	0.023150
0.201032	0.000000	0.023150
0.251086	0.000000	0.023150
0.302129	0.000000	0.023150
0.352996	0.000000	0.023150
0.407562	0.000000	0.023150
0.457568	0.000000	0.023150
0.510008	0.000000	0.023150
0.518189	0.000000	0.023150
0.520007	0.000000	0.023150
0.529992	0.000000	0.023150
0.539966	0.000000	0.023150
0.549962	0.000000	0.023150
0.559948	0.000000	0.023150
0.568982	0.000000	0.023150
0.569948	0.000000	0.023150
0.579946	0.000000	0.023150
0.589965	0.000000	0.023150
0.599950	0.000000	0.023150
0.609971	0.000000	0.023150
0.620015	0.000000	0.023150
0.629966	0.000000	0.023150
0.639967	0.000000	0.023150
0.649971	0.000000	0.023150
0.659965	0.000000	0.023150
0.669974	0.000000	0.023150
0.679964	0.000000	0.023150
0.689945	0.000000	0.023150
0.699950	0.000000	0.023150
0.709957	0.000000	0.023150
0.719946	0.000000	0.023150
0.729962	0.000000	0.023150
0.739996	0.000000	0.023150
0.749945	0.000000	0.023150
0.759977	0.000000	0.023150
0.769964	0.000000	0.023150
0.779970	0.000000	0.023150
0.789966	0.000000	0.023150
0.799978	0.000000	0.023150
0.809968	0.000000	0.023150
0.819985	0.000000	0.023150
0.829980	0.000000	0.023150
0.839955	0.000000	0.023150
0.849959	0.000000	0.023150
0.859955	0.000000	0.023150
0.870000	0.000000	0.023150
0.879993	0.000000	0.023150
0.889966	0.000000	0.023150
0.899978	0.000000	0.023150
0.909976	0.000000	0.023150
0.920009	0.000000	0.023150
0.930007	0.000000	0.023150
0.940009	0.000000	0.023150
0.950229	0.000000	0.023150
0.959955	0.000000	0.023150
0.970016	0.000000	0.023150
0.979966	0.000000	0.023150
0.989955	0.000000	0.023150
0.999969	0.000000	0.023150
0.619057	0.000000	0.023150
0.669561	0.000000	0.023150
0.720438	0.000000	0.023150
0.772238	0.000000	0.023150
0.822262	0.000000	0.023150
0.872626	0.000000	0.023150
0.923485	0.000000	0.023150
0.974315	0.000000	0.023150
1.009979	0.000000	0.023150
1.019972	0.000000	0.023150
1.025313	0.000000	0.023150
1.029968	0.000000	0.023150
1.039958	0.000000	0.023150
1.049978	0.000000	0.023150
1.060115	0.000000	0.023150
1.069957	0.000000	0.023150
1.075610	0.000000	0.023150
1.079993	0.000000	0.023150
1.089947	0.000000	0.023150
1.099962	0.000000	0.023150
1.110373	0.000000	0.023150
1.119998	0.000000	0.023150
1.129988	0.000000	0.023150
1.140003	0.000000	0.023150
1.149981	0.000000	0.023150
1.159995	0.000000	0.023150
1.169955	0.000000	0.023150
1.180002	0.000000	0.023150
1.189998	0.000000	0.023150
1.199955	0.000000	0.023150
1.209978	0.000000	0.023150
1.219981	0.000000	0.023150
1.229957	0.000000	0.023150
1.240003	0.000000	0.023150
1.249950	0.000000	0.023150
1.259968	0.000000	0.023150
1.269972	0.000000	0.023150
1.279976	0.000000	0.023150
1.289988	0.000000	0.023150
1.299988	0.000000	0.023150
1.310006	0.000000	0.023150
1.319970	0.000000	0.023150
1.329988	0.000000	0.023150
1.339981	0.000000	0.023150
1.349986	0.000000	0.023150
1.359979	0.000000	0.023150
1.370030	0.000000	0.023150
1.379977	0.000000	0.023150
1.389973	0.000000	0.023150
1.399990	0.000000	0.023150
1.409991	0.000000	0.023150
1.420002	0.000000	0.023150
1.430007	0.000000	0.023150
1.439999	0.000000	0.023150
1.449991	0.000000	0.023150
1.459978	0.000000	0.023150
1.469985	0.000000	0.023150
1.479980	0.000000	0.023150
1.489980	0.000000	0.023150
1.499977	0.000000	0.023150
1.125612	0.000000	0.023150
1.175614	0.000000	0.023150
1.225615	0.000000	0.023150
1.275986	0.000000	0.023150
1.327020	0.000000	0.023150
1.377970	0.000000	0.023150
1.428169	0.000000	0.023150
1.479007	0.000000	0.023150
1.509979	0.000000	0.023150
1.519966	0.000000	0.023150
1.529272	0.000000	0.023150
1.529949	0.000000	0.023150
1.539958	0.000000	0.023150
1.549967	0.000000	0.023150
1.559952	0.000000	0.023150
1.569978	0.000000	0.023150
1.579328	0.000000	0.023150
1.579963	0.000000	0.023150
1.589975	0.000000	0.023150
1.599945	0.000000	0.023150
1.609959	0.000000	0.023150
1.619992	0.000000	0.023150
1.629331	0.000000	0.023150
1.629952	0.000000	0.023150
1.639948	0.000000	0.023150
1.649976	0.000000	0.023150
1.659950	0.000000	0.023150
1.669944	0.000000	0.023150
1.679984	0.000000	0.023150
1.689964	0.000000	0.023150
1.699975	0.000000	0.023150
1.709960	0.000000	0.023150
1.719949	0.000000	0.023150
1.729967	0.000000	0.023150
1.739964	0.000000	0.023150
1.749945	0.000000	0.023150
1.759951	0.000000	0.023150
1.770080	0.000000	0.023150
1.779952	0.000000	0.023150
1.789978	0.000000	0.023150
1.799948	0.000000	0.023150
1.809968	0.000000	0.023150
1.819953	0.000000	0.023150
1.829978	0.000000	0.023150
1.839980	0.000000	0.023150
1.849980	0.000000	0.023150
1.859967	0.000000	0.023150
1.870005	0.000000	0.023150
1.879964	0.000000	0.023150
1.889979	0.000000	0.023150
1.899983	0.000000	0.023150
1.909970	0.000000	0.023150
1.919981	0.000000	0.023150
1.929993	0.000000	0.023150
1.939998	0.000000	0.023150
1.950060	0.000000	0.023150
1.959999	0.000000	0.023150
1.970001	0.000000	0.023150
1.980018	0.000000	0.023150
1.989994	0.000000	0.023150
1.999982	0.000000	0.023150
1.679333	0.000000	0.023150
1.730247	0.000000	0.023150
1.782483	0.000000	0.023150
1.835234	0.000000	0.023150
1.885234	0.000000	0.023150
1.936345	0.000000	0.023150
1.986404	0.000000	0.023150
2.009964	0.000000	0.023150
2.020004	0.000000	0.023150
2.029961	0.000000	0.023150
2.038223	0.000000	0.023150
2.039963	0.000000	0.023150
2.049945	0.000000	0.023150
