24230	X	Z	S	Y	A	B	V	W
0.010026	4.250000	-0.100000	-90.000000	4.550000	5.000000	0.000000	0.000000	0.000000
0.020003	4.250000	-0.100000	-90.000000	4.550000	5.000000	-0.000000	0.000000	0.000000
0.029993	4.250000	-0.100000	-90.000000	4.550000	5.000000	-0.000000	0.000000	0.000000
0.040011	4.250000	-0.100000	-90.000000	4.550000	5.000000	-0.000000	0.000000	0.000000
0.050026	4.250000	-0.100000	-90.000000	4.550000	5.000000	-0.000000	0.000000	0.000000
0.058827	4.250000	-0.100000	-90.000000	4.550000	5.000000	-0.000000	0.000000	0.000000
0.060031	4.250000	-0.100000	-90.000000	4.550000	5.000000	-0.000000	0.000000	0.000000
0.070002	4.250000	-0.100000	-90.000000	4.550000	5.000000	-0.000000	0.000000	0.000000
0.080031	4.250000	-0.100000	-90.000000	4.550000	5.000000	-0.000000	0.000000	0.000000
0.090006	4.250000	-0.100000	-90.000000	4.550000	5.000000	-0.000000	0.000000	0.000000
0.100026	4.250000	-0.100000	-90.000000	4.550000	5.000000	-0.000000	0.000000	0.000000
0.109092	4.250000	-0.100000	-90.000000	4.550000	5.000000	-0.000000	0.000000	0.000000
0.110019	4.250000	-0.100000	-90.000000	4.550000	5.000000	-0.000000	0.000000	0.000000
0.120021	4.250000	-0.100000	-90.000000	4.550000	5.000000	-0.000000	0.000000	0.000000
0.130008	4.250000	-0.100000	-90.000000	4.550000	5.000000	-0.000000	0.000000	0.000000
0.140023	4.250000	-0.100000	-90.000000	4.550000	5.000000	-0.000000	0.000000	0.000000
0.150003	4.250000	-0.100000	-90.000000	4.550000	5.000000	-0.000000	0.000000	0.000000
0.159643	4.250000	-0.100000	-90.000000	4.550000	5.000000	-0.000000	0.000000	0.000000
0.160000	4.250000	-0.100000	-90.000000	4.550000	5.000000	-0.000000	0.000000	0.000000
0.170006	4.250000	-0.100000	-90.000000	4.550000	5.000000	-0.000000	0.000000	0.000000
0.180020	4.250000	-0.100000	-90.000000	4.550000	5.000000	0.000000	0.000000	0.000000
0.190013	4.250000	-0.100000	-90.000000	4.550000	5.000000	0.000000	0.000000	0.000000
0.200043	4.250000	-0.100000	-90.000000	4.550000	5.000000	-0.000000	0.000000	0.000000
0.209966	4.250000	-0.100000	-90.000000	4.550000	5.000000	-0.000000	0.000000	0.000000
0.210015	4.250000	-0.100000	-90.000000	4.550000	5.000000	-0.000000	0.000000	0.000000
