2070	X	Z	S	Y	A	B	V	W
0.012992	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.065961	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.085949	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.102940	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.118931	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.135921	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.159908	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.171902	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.196887	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.213884	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.245867	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.266855	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.290843	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.311830	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.331816	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.372793	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.393784	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.417768	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.442754	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.475735	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.512714	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.536700	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.569681	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.598665	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.626649	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.647637	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.679619	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.708602	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.733587	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.782559	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.811545	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.840526	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.872508	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.893496	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.909487	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.930476	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.950464	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
0.995439	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
1.012429	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
1.032416	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
1.061404	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
1.081389	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
1.102377	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
1.130361	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
1.151349	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
1.179334	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
1.205318	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
1.233301	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
1.264284	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
1.282274	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
1.307260	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
1.331246	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
1.401206	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
1.421194	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
1.450180	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
1.492154	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
1.561115	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
1.581103	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
1.594095	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
1.610086	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
1.638070	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
1.667054	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
1.688042	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
1.712029	1.749996	-0.099996	-90.000000	2.049996	5.000000	-0.000000	0.000000	0.000000
