46408	X	Z	S	Y	A	B	V	W
0.009998	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.020026	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.030016	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.039970	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.050051	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.050787	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.059967	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.070029	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.080262	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.089966	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.099978	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.101770	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.109968	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.120009	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.129989	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.139991	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.150106	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.151833	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.160001	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.170228	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.179997	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.189982	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.199984	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.202840	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.209970	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.219969	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.230014	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.240055	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.249977	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.252845	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.260023	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.269984	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.279980	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.289977	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.299979	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.302957	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.309966	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.320029	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.329967	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.340001	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.349967	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.354086	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.359987	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.369986	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.379984	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.390011	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.399987	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.404192	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.409988	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.419984	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.429992	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.439995	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.450025	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.455038	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.460022	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.470032	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.480031	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.490073	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.500015	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.505886	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.556339	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.510015	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.520018	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.529997	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.539990	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.549965	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.559988	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.570016	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.579966	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.589987	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.599992	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.608168	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.609973	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.619996	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.629965	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.640005	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.650007	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.658277	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.659986	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.670021	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.680038	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.689991	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.699983	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.709967	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.718290	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.719968	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.729970	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.740000	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.749988	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.759984	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.768293	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.769965	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.779995	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.789984	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.799986	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.810030	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.818300	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.820011	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.829967	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.839983	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.849970	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.859971	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.868304	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.869972	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.879998	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.890001	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.899971	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.909972	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.918860	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.919992	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.930009	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.939987	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.950007	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.960030	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.969970	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.970298	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.980001	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
0.990041	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
0.999987	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
1.010065	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
1.019982	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
1.020299	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
1.029982	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
1.040099	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
1.049999	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
1.059989	1.750000	-0.100000	-90.000000	2.050000	5.000000	0.000000	0.000000	0.000000
1.070045	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
1.070307	1.750000	-0.100000	-90.000000	2.050000	5.000000	-0.000000	0.000000	0.000000
