2130	X	Z	S	Y	A	B	V	W
0.011994	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.028984	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.044975	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.060966	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.085951	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.114934	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.130926	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.142919	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.155910	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.171902	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.188893	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.204884	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.220874	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.233867	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.249858	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.282839	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.298830	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.319819	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.343804	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.368789	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.409768	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.442747	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.475733	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.507711	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.520702	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.544690	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.569675	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.597658	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.618646	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.638636	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.662625	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.679614	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.704598	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.729583	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.741576	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.761565	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.782554	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.802542	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
0.819532	1.750032	-0.103824	-90.000000	2.050128	15.255814	-0.299401	0.000000	0.000000
