6618	Buffer Level	Buffer Control PID Delays
0.050146	0.000000	0.000000
0.100723	0.000000	0.000000
0.150754	0.000000	0.000000
0.200754	0.000000	0.000000
0.250847	0.000000	0.000000
0.010022	0.000000	0.000000
0.020063	0.000000	0.000000
0.030006	0.000000	0.000000
0.040011	0.000000	0.000000
0.050028	0.000000	0.000000
0.060018	0.000000	0.000000
0.070013	0.000000	0.000000
0.080032	0.000000	0.000000
0.090650	0.000000	0.000000
0.100020	0.000000	0.000000
0.110012	0.000000	0.000000
0.120016	0.000000	0.000000
0.130041	0.000000	0.000000
0.139994	0.000000	0.000000
0.150025	0.000000	0.000000
0.160085	0.000000	0.000000
0.170015	0.000000	0.000000
0.180033	0.000000	0.000000
0.190075	0.000000	0.000000
0.200008	0.000000	0.000000
0.210004	0.000000	0.000000
0.220020	0.000000	0.000000
0.230025	0.000000	0.000000
0.240049	0.000000	0.000000
0.250128	0.000000	0.000000
0.260069	0.000000	0.000000
0.270119	0.000000	0.000000
0.280040	0.000000	0.000000
0.290056	0.000000	0.000000
0.300034	0.000000	0.000000
0.300850	0.000000	0.000000
0.310035	0.000000	0.000000
0.320024	0.000000	0.000000
0.330018	0.000000	0.000000
0.340048	0.000000	0.000000
0.350046	0.000000	0.000000
0.350854	0.000000	0.000000
0.360000	0.000000	0.000000
0.370000	0.000000	0.000000
0.379999	0.000000	0.000000
0.390001	0.000000	0.000000
0.399986	0.000000	0.000000
0.400857	0.000000	0.000000
0.409988	0.000000	0.000000
0.419990	0.000000	0.000000
0.429990	0.000000	0.000000
0.440019	0.000000	0.000000
0.450002	0.000000	0.000000
0.450861	0.000000	0.000000
0.460027	0.000000	0.000000
0.470008	0.000000	0.000000
0.480068	0.000000	0.000000
0.489998	0.000000	0.000000
0.499986	0.000000	0.000000
0.500889	0.000000	0.000000
0.551748	0.000000	0.000000
0.601752	0.000000	0.000000
0.651757	0.000000	0.000000
0.510009	0.000000	0.000000
0.520002	0.000000	0.000000
0.530001	0.000000	0.000000
0.539997	0.000000	0.000000
0.549985	0.000000	0.000000
0.560053	0.000000	0.000000
0.570040	0.000000	0.000000
0.580045	0.000000	0.000000
0.590060	0.000000	0.000000
0.599982	0.000000	0.000000
0.609986	0.000000	0.000000
0.620035	0.000000	0.000000
0.630008	0.000000	0.000000
0.640001	0.000000	0.000000
0.650016	0.000000	0.000000
0.660060	0.000000	0.000000
0.670032	0.000000	0.000000
0.680056	0.000000	0.000000
0.690085	0.000000	0.000000
0.700000	0.000000	0.000000
0.701799	0.000000	0.000000
0.710018	0.000000	0.000000
0.720001	0.000000	0.000000
0.730032	0.000000	0.000000
0.740042	0.000000	0.000000
0.750032	0.000000	0.000000
0.752784	0.000000	0.000000
0.760035	0.000000	0.000000
0.770082	0.000000	0.000000
0.780038	0.000000	0.000000
0.790044	0.000000	0.000000
0.800059	0.000000	0.000000
0.803741	0.000000	0.000000
0.810046	0.000000	0.000000
0.820043	0.000000	0.000000
0.830016	0.000000	0.000000
0.840021	0.000000	0.000000
0.850012	0.000000	0.000000
0.854124	0.000000	0.000000
0.860009	0.000000	0.000000
0.870039	0.000000	0.000000
0.880030	0.000000	0.000000
0.890000	0.000000	0.000000
0.900047	0.000000	0.000000
0.904151	0.000000	0.000000
0.910033	0.000000	0.000000
0.920013	0.000000	0.000000
0.930018	0.000000	0.000000
0.940073	0.000000	0.000000
0.950002	0.000000	0.000000
0.954155	0.000000	0.000000
0.960035	0.000000	0.000000
0.970035	0.000000	0.000000
0.980017	0.000000	0.000000
0.990005	0.000000	0.000000
1.000022	0.000000	0.000000
1.004811	0.000000	0.000000
1.054912	0.000000	0.000000
1.010018	0.000000	0.000000
1.019984	0.000000	0.000000
1.030010	0.000000	0.000000
1.040026	0.000000	0.000000
1.049996	0.000000	0.000000
1.059999	0.000000	0.000000
1.070025	0.000000	0.000000
1.080048	0.000000	0.000000
1.090027	0.000000	0.000000
1.100017	0.000000	0.000000
1.105165	0.000000	0.000000
1.110020	0.000000	0.000000
1.119995	0.000000	0.000000
1.129997	0.000000	0.000000
1.140025	0.000000	0.000000
1.150012	0.000000	0.000000
1.155165	0.000000	0.000000
1.160033	0.000000	0.000000
1.170032	0.000000	0.000000
1.180035	0.000000	0.000000
1.190090	0.000000	0.000000
1.200030	0.000000	0.000000
1.205891	0.000000	0.000000
1.210030	0.000000	0.000000
1.220036	0.000000	0.000000
1.230028	0.000000	0.000000
1.240041	0.000000	0.000000
1.249998	0.000000	0.000000
1.255891	0.000000	0.000000
1.260033	0.000000	0.000000
1.269998	0.000000	0.000000
1.280019	0.000000	0.000000
1.290025	0.000000	0.000000
1.300045	0.000000	0.000000
1.306245	0.000000	0.000000
1.310046	0.000000	0.000000
1.320056	0.000000	0.000000
1.330063	0.000000	0.000000
1.340052	0.000000	0.000000
1.350044	0.000000	0.000000
1.358096	0.000000	0.000000
1.360026	0.000000	0.000000
1.370034	0.000000	0.000000
1.380019	0.000000	0.000000
1.390008	0.000000	0.000000
1.400044	0.000000	0.000000
1.408927	0.000000	0.000000
1.409994	0.000000	0.000000
